,Seed,Gap:5,Gap:15,Gap:30,Gap:50,Gap:100,Gap:500
0,1121,0.04991587212563096,0.19237240605720696,0.3466068424004487,0.4677509814918676,1.1379697139652272,4.139652271452608
1,810,0.09871003925967471,0.3118339876612451,0.5530005608524958,0.7936062815479529,1.2770611329220416,4.310712282669658
2,530,0.0532809871003926,0.16545148625911385,0.2316320807627594,0.2591138530566461,1.0549635445877734,6.231071228266965
3,607,0.0628154795288839,0.15367358384744811,0.4026920919798093,0.7891194615816041,2.0050476724621427,5.9977565900168255
4,853,0.07627593942793046,0.16881660123387549,0.2063937184520471,0.37689287717330344,1.1015143017386428,3.625350532809871
5,980,0.019068984856982614,0.07964105440269209,0.14189568143578238,0.2406057206954571,0.9876612450925406,3.656758272574313
6,825,0.08132361189007291,0.2523836231071228,0.4441951766685362,0.5586090858104319,1.0196298373527761,3.8553000560852495
7,671,0.07795849691531127,0.19742007851934942,0.4733595064498037,0.7986539540100953,2.195176668536175,6.579921480650589
8,821,0.1160964666292765,0.2781828379136287,0.48850252383623105,0.6505888951205833,1.0459899046550758,4.039820527201346
9,870,0.0061693774537296695,0.04991587212563096,0.17666853617498599,0.4890633763320247,1.1845204711160964,3.4228827818283794
10,742,0.10992708917554683,0.36960179472798654,0.702187324733595,1.0100953449242849,2.250701065619742,5.187324733595064
11,1002,0.009534492428491307,0.03925967470555244,0.0628154795288839,0.24340998317442514,0.9388670779584969,3.7077958496915313
12,1025,0.01514301738642737,0.05720695457094784,0.26472237801458215,0.38137969713965225,1.0386988222097588,3.7190128996074034
13,798,0.11217049915872125,0.3129556926528323,0.6141334828939988,0.8833426808749298,1.490185081323612,4.514862591138531
14,698,0.11946158160403814,0.284913067863152,0.5653393157599551,0.9439147504206393,2.261918115535614,6.391475042063937
15,922,0.04767246214245653,0.08581043185642176,0.21088053841839596,0.3937184520471116,0.9321368480089737,3.441951766685362
16,788,0.10207515423443635,0.3045429052159282,0.6045989904655076,0.9360628154795289,1.6977005047672462,4.700504767246215
