,Seed,Gap:5,Gap:15,Gap:30,Gap:50,Gap:100,Gap:500
0,1121,0.05003947719909554,0.20102699789692682,0.3553314501224628,0.45598666023509826,1.072614342295937,3.8959015935523365
1,810,0.11449984243370297,0.36567663987515964,0.6248428469074588,0.8705948945273928,1.2524915124861604,3.9257398132268433
2,530,0.05065698061319753,0.1585325242677586,0.2161861695994749,0.2399298378341112,1.0035824096494246,6.303698129445716
3,607,0.06136844948398348,0.1455870352661264,0.41662590854319476,0.8765872636418235,2.248940089361652,6.242027279651921
4,853,0.07919885938690474,0.17113347193135786,0.2034163349902173,0.32620566553415226,0.9254618861461965,3.2850815968863842
5,980,0.016316010837263098,0.0702972581428857,0.12327569667036277,0.20237361183549668,0.924108725611442,3.477245046843996
6,825,0.0858594082229492,0.27071403923398657,0.4645614327900137,0.5748368264775793,0.9044055098854378,3.481863991676691
7,671,0.08174068478770675,0.20079971036587435,0.5179231000800755,0.8791448419143804,2.5787784338213067,6.606611070840264
8,821,0.14161446182019893,0.3128961977896017,0.5320587845495703,0.6887530729788143,0.97731674038535,3.6767715910849006
9,870,0.004986812636790937,0.04316664004430878,0.1337468009592322,0.34239440958370504,0.9994016549577995,3.0771515962567126
10,742,0.12991426628290736,0.4679784725528397,0.883654451927237,1.2207849151050076,2.6486358129039176,5.203024242221284
11,1002,0.007599106196974958,0.031146348574067055,0.05017228272182406,0.23449618694725508,0.889319051089792,3.556943295314632
12,1025,0.012311766095914566,0.048389541358485035,0.2618508871423613,0.3713025603494127,0.9793981538371639,3.542136071346787
13,798,0.13933787844500026,0.3799946902579479,0.7329671717240568,1.0151472706625686,1.5509713834470935,4.1646939391312126
14,698,0.14734145860823677,0.3240397309620662,0.6390690459067541,1.0789622857650236,2.629377254842879,6.365211083863286
15,922,0.033461467294829364,0.06613373809894738,0.1877584108464343,0.38128985820819655,0.84614755502638,3.176950745417167
16,788,0.1167957201529535,0.3540267029059041,0.7094562760117894,1.0805953828337644,1.7979876787136355,4.367626588765503
