,Seeds,Gap:5,Gap:12,Gap:30,Gap:50,Gap:100
0,8500,0.7713873077903328,0.44936624333695474,0.16023330664544122,0.4525282876143849,0
1,8670,0.0,0.2787600108413275,0.476528311473848,0.43283675717411263,0
2,8792,0.4636841151965263,0.8266039102629159,0.4022534172757467,0.04536232276409058,0
3,8810,0.5669934385861005,0.6292373627522039,0.4416303261034009,0.2659457270564931,0
4,8972,0.7776393427207972,0.7897450898959633,0.3522120856027421,0.40656865225495553,0
5,9009,0.8800968914008883,0.9633021796302094,0.24223249775840583,0.11171028282332462,0
6,9380,0.8042895442359249,0.6813647805613532,0.37174923725119835,0.45395845199918616,0
7,9592,0.6666666666666667,0.4464093609910734,0.11317280565192311,0.36090061897957715,0
8,9715,0.9527091050047378,0.9665086427570805,0.9811754685947431,0.4812531510872171,0
9,9800,0.7858390417322154,0.8353953672906045,0.4029590948650995,0.40038168081770564,0
