,Seeds,Gap:5,Gap:12,Gap:30,Gap:50,Gap:100
0,7000,0.7096774193548361,0.40122356741668785,0.8072498260484534,0.41809306223243115,0
1,7296,0.4415845091209638,0.14898086043236058,0.5949163312857446,0.6161928056908199,0
2,7384,0.2720751916893387,0.1631342624361869,0.10690645622339023,0.6355850387056549,0
3,7557,0.9540034071550259,0.2760294232888253,0.051481973831164485,0.5002538589001625,0
4,7572,0.8945686900958462,0.7066065243790824,0.1481376490739157,0.8056102951583577,0
5,7698,0.7318348144275977,0.25118516375890454,0.007468192866499468,0.7706399802062551,0
6,7839,0.41943638236120384,0.1371920355703775,0.4510406771910811,0.20408098205041691,0
7,7934,0.8985228563936718,0.10330506036017661,0.6292705344332856,0.38504288993596725,0
8,8190,0.7749703238935044,0.9980211170698682,0.1999853165986084,0.40434005193970435,0
9,8250,0.923076923076923,0.6469001586477505,0.7923369152243919,0.44914782931882713,0
