,Seeds,Gap:5,Gap:12,Gap:30,Gap:50,Gap:100
0,3600,0.5696846388606257,0.38648314040846743,0.045497730683443205,0.4507827504075801,0
1,3797,0.9613183794918744,0.8134238990909555,0.321133101146311,0.8100175898805669,0
2,3828,0.9448818897637793,0.22189706657586328,0.3124871936082845,0.12056636035140667,0
3,3939,0.9558352890975036,0.9301745109831799,0.4013534637380024,0.08706695467875936,0
4,4210,0.5447641659010158,0.32828832964375,0.4804587790551763,0.6425454594528187,0
5,4353,0.8919382504288167,0.48344374375842203,0.5548294405627624,0.29264014472611743,0
6,4567,0.47058823529411586,0.6084317308574974,0.4619743472472435,0.47176696563495757,0
7,4890,0.9482021767622089,0.657792178294145,0.38229945443523916,0.42429983468681265,0
8,5102,0.935672514619883,0.6536697061985145,0.17259203115014765,0.18289385585236173,0
9,5200,0.38196597481369765,0.1850542930765382,0.25730549657548396,0.6359386786465759,0
