,Gap:5,Gap:15,Gap:30,Gap:50
0,3.5,10.071428571428571,14.413793103448276,17.0
1,3.5,21.214285714285715,30.0,32.89795918367347
2,4.5,7.857142857142857,19.82758620689655,22.918367346938776
3,16.75,28.142857142857142,40.86206896551724,41.87755102040816
4,4.75,16.857142857142858,29.93103448275862,36.30612244897959
5,10.25,22.285714285714285,22.275862068965516,21.163265306122447
6,3.0,12.642857142857142,40.724137931034484,56.857142857142854
7,3.75,16.928571428571427,34.44827586206897,42.44897959183673
8,15.5,28.714285714285715,33.93103448275862,37.816326530612244
9,7.5,14.857142857142858,17.379310344827587,20.387755102040817
10,2.0,13.571428571428571,21.379310344827587,30.26530612244898
11,8.75,19.214285714285715,27.517241379310345,29.612244897959183
12,17.0,24.714285714285715,36.724137931034484,41.734693877551024
13,2.0,11.142857142857142,21.96551724137931,22.714285714285715
14,15.25,27.0,32.310344827586206,38.87755102040816
15,6.5,16.142857142857142,26.896551724137932,32.95918367346939
16,1.75,14.214285714285714,28.586206896551722,32.55102040816327
17,2.25,8.357142857142858,20.862068965517242,29.244897959183675
18,1.5,2.2142857142857144,8.0,12.387755102040817
19,4.25,19.428571428571427,34.06896551724138,35.204081632653065
20,0.75,22.214285714285715,39.758620689655174,43.857142857142854
21,3.75,12.0,24.06896551724138,32.755102040816325
22,9.25,7.0,16.517241379310345,22.448979591836736
23,5.75,8.071428571428571,17.620689655172413,28.020408163265305
24,10.75,20.714285714285715,35.58620689655172,40.6530612244898
25,10.25,27.0,33.51724137931034,36.775510204081634
26,5.5,11.785714285714286,24.620689655172413,32.12244897959184
27,3.25,6.571428571428571,18.20689655172414,26.93877551020408
28,7.75,9.714285714285714,21.379310344827587,33.244897959183675
29,2.25,12.714285714285714,28.551724137931036,33.714285714285715
30,7.5,20.071428571428573,23.06896551724138,33.3469387755102
31,9.75,13.5,26.17241379310345,35.93877551020408
32,5.0,12.785714285714286,18.448275862068964,30.020408163265305
33,4.75,11.071428571428571,22.413793103448278,26.367346938775512
34,7.5,10.928571428571429,16.551724137931036,25.510204081632654
35,6.75,20.142857142857142,32.206896551724135,44.48979591836735
36,3.75,13.928571428571429,15.551724137931034,37.69387755102041
37,28.5,28.214285714285715,27.96551724137931,24.081632653061224
38,12.5,27.857142857142858,38.6551724137931,43.12244897959184
39,4.75,23.857142857142858,37.89655172413793,51.204081632653065
40,10.75,17.142857142857142,26.96551724137931,31.612244897959183
41,2.75,6.428571428571429,21.96551724137931,29.489795918367346
42,2.5,15.571428571428571,15.03448275862069,22.897959183673468
43,12.75,42.357142857142854,48.58620689655172,53.30612244897959
44,4.0,2.5714285714285716,16.862068965517242,25.020408163265305
45,5.5,10.5,17.620689655172413,19.244897959183675
46,6.5,13.428571428571429,24.551724137931036,29.959183673469386
47,7.75,20.714285714285715,34.62068965517241,38.714285714285715
48,1.5,4.285714285714286,11.89655172413793,19.0
49,5.25,24.714285714285715,40.89655172413793,57.57142857142857
50,7.25,18.0,30.03448275862069,35.734693877551024
51,2.25,11.714285714285714,21.551724137931036,27.73469387755102
52,3.25,23.071428571428573,30.93103448275862,35.285714285714285
53,4.0,10.428571428571429,21.93103448275862,26.285714285714285
54,11.25,15.5,26.93103448275862,43.55102040816327
55,10.0,16.214285714285715,23.586206896551722,31.979591836734695
56,14.5,31.714285714285715,33.275862068965516,33.816326530612244
57,1.75,10.071428571428571,26.586206896551722,31.551020408163264
58,6.75,13.0,30.689655172413794,34.87755102040816
59,3.75,12.285714285714286,20.103448275862068,28.244897959183675
60,3.75,6.071428571428571,9.03448275862069,12.816326530612244
61,1.5,11.0,26.93103448275862,35.06122448979592
62,10.0,21.642857142857142,18.379310344827587,24.918367346938776
63,5.25,2.9285714285714284,7.344827586206897,9.959183673469388
64,5.0,14.214285714285714,28.137931034482758,33.48979591836735
65,4.75,18.642857142857142,32.0,37.6530612244898
66,6.5,7.5,10.827586206896552,14.775510204081632
67,4.25,17.642857142857142,19.655172413793103,25.285714285714285
68,15.75,19.214285714285715,26.17241379310345,34.673469387755105
69,27.0,34.92857142857143,46.10344827586207,50.97959183673469
70,5.75,16.285714285714285,21.96551724137931,28.632653061224488
71,2.25,10.142857142857142,20.344827586206897,29.163265306122447
72,3.25,16.285714285714285,29.482758620689655,34.38775510204081
73,6.25,16.571428571428573,23.413793103448278,32.93877551020408
74,4.0,8.285714285714286,8.620689655172415,16.285714285714285
75,11.0,11.142857142857142,19.655172413793103,34.12244897959184
76,3.75,10.142857142857142,16.137931034482758,17.653061224489797
77,3.0,10.428571428571429,27.103448275862068,34.30612244897959
78,3.25,19.571428571428573,24.06896551724138,33.44897959183673
79,11.5,45.785714285714285,51.44827586206897,52.61224489795919
80,10.5,14.5,16.75862068965517,19.102040816326532
81,19.0,15.928571428571429,19.517241379310345,20.367346938775512
82,10.75,33.785714285714285,36.86206896551724,41.857142857142854
83,11.5,19.642857142857142,27.20689655172414,34.61224489795919
84,18.75,2.857142857142857,12.724137931034482,25.632653061224488
85,3.25,2.9285714285714284,10.068965517241379,17.775510204081634
86,1.0,5.142857142857143,8.172413793103448,7.857142857142857
87,0.75,9.214285714285714,19.344827586206897,23.122448979591837
88,2.25,9.428571428571429,31.310344827586206,32.93877551020408
89,5.75,22.428571428571427,33.206896551724135,44.714285714285715
90,11.5,7.071428571428571,10.758620689655173,15.73469387755102
91,7.5,6.928571428571429,20.448275862068964,32.755102040816325
92,8.0,11.357142857142858,20.689655172413794,21.408163265306122
93,10.0,11.071428571428571,12.655172413793103,43.857142857142854
94,19.5,20.857142857142858,34.758620689655174,36.61224489795919
95,10.25,9.214285714285714,26.517241379310345,20.6734693877551
96,3.25,21.928571428571427,21.655172413793103,21.26530612244898
97,1.5,11.357142857142858,13.724137931034482,39.08163265306123
98,11.5,23.428571428571427,31.17241379310345,28.122448979591837
99,9.5,18.214285714285715,24.379310344827587,13.918367346938776
